Date,Station,Entries
3/9/2023,Benning Road,356.0
3/9/2023,McPherson Sq,1248.0
3/9/2023,Wheaton,440.0
3/9/2023,Congress Heights,296.0
3/9/2023,Federal Triangle,722.0
3/9/2023,Capitol Heights,212.0
3/9/2023,L'Enfant Plaza,3991.0
3/9/2023,Morgan Boulevard,83.0
3/9/2023,Braddock Road,503.0
3/9/2023,Gallery Place,5487.0
3/9/2023,Metro Center,3799.0
3/9/2023,West Hyattsville,74.0
3/9/2023,Rosslyn,765.0
3/9/2023,Tysons,370.0
3/9/2023,Cleveland Park,506.0
3/9/2023,Pentagon City,1393.0
3/9/2023,Georgia Ave-Petworth,829.0
3/9/2023,Waterfront,860.0
3/9/2023,Braddock Road,130.0
3/9/2023,Congress Heights,73.0
3/9/2023,Crystal City,16.0
3/9/2023,Gallery Place,53.0
3/9/2023,Vienna,0.0
3/9/2023,Columbia Heights,12.0
3/9/2023,Rhode Island Ave,3.0
3/9/2023,Waterfront,10.0
3/9/2023,Suitland,0.0
3/11/2023,Suitland,1.0
3/11/2023,Judiciary Square,25.0
3/11/2023,Woodley Park,53.0
3/10/2023,Huntington,313.0
3/12/2023,Pentagon City,1430.0
3/12/2023,L'Enfant Plaza,1212.0
3/12/2023,Georgia Ave-Petworth,581.0
3/12/2023,Wheaton,340.0
3/12/2023,West Falls Church,43.0
3/12/2023,McPherson Sq,1145.0
3/12/2023,Federal Triangle,469.0
3/12/2023,Medical Center,123.0
3/12/2023,Cheverly,21.0
3/12/2023,Braddock Road,100.0
3/10/2023,Union Station,2197.0
3/10/2023,Crystal City,1117.0
3/10/2023,Anacostia,689.0
3/10/2023,L'Enfant Plaza,1672.0
3/10/2023,Shady Grove,2027.0
3/10/2023,King St-Old Town,729.0
3/10/2023,Federal Triangle,34.0
3/10/2023,Silver Spring,1046.0
3/11/2023,Union Station,1745.0
3/12/2023,Glenmont,186.0
3/12/2023,Ballston-MU,656.0
3/12/2023,Morgan Boulevard,32.0
3/12/2023,Hyattsville Crossing,270.0
3/10/2023,Southern Ave,420.0
3/11/2023,Federal Center SW,811.0
3/11/2023,North Bethesda,275.0
3/12/2023,Anacostia,165.0
3/12/2023,Glenmont,187.0
3/10/2023,Greenbelt,418.0
3/10/2023,Archives,595.0
3/11/2023,Rosslyn,1224.0
3/10/2023,New Carrollton,394.0
3/12/2023,West Hyattsville,57.0
3/11/2023,Rhode Island Ave,759.0
3/11/2023,Potomac Ave,523.0
3/11/2023,Twinbrook,162.0
3/11/2023,Georgia Ave-Petworth,278.0
3/11/2023,Naylor Road,43.0
3/11/2023,Clarendon,902.0
