geoid_tract_20,census_tract_name,depressed_perc,black_non_hisp_perc,white_non_hisp_perc,hispanic_latino_perc,3_plus_cre_risk_factors_perc,below_poverty_level_perc,no_health_insurance_perc,male_perc,female_perc,income_inequality_gini_index,hs_grad_perc,households_no_vehicle_perc,households_w_internet_perc,walkability_score,GEOID,neighborhood_name
11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",17.1,54.1,16.8,25.1,14.16,5.1,3.6,47.1,52.9,0.4128,90.6,9.9,85.9,13.75,11001001902,LAMOND RIGGS
11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",19.3,77.7,14.5,4.8,35.19,27.1,6.9,47.7,52.3,0.4254,93.4,35.0,79.7,14.583333334999999,11001008903,TRINIDAD
11001005800,"Census Tract 58, District of Columbia, District of Columbia",19.5,10.5,59.2,11.3,30.12,16.2,0.9,48.5,51.5,0.4614,92.9,50.7,91.0,18.25,11001005800,CHINATOWN
11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",19.2,94.3,3.3,0.1,32.2,26.0,2.4,45.1,54.9,0.5191,92.5,38.2,69.8,11.75,11001009807,BELLEVUE
11001000600,"Census Tract 6, District of Columbia, District of Columbia",20.1,6.6,70.6,13.6,18.0,5.9,1.0,44.2,55.8,0.5108,94.5,25.5,89.8,16.33333333,11001000600,WOODLEY PARK
11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",22.2,86.3,9.2,4.1,36.35,41.3,3.4,45.7,54.3,0.5409,84.5,46.4,72.6,14.666666665,11001007503,HISTORIC ANACOSTIA
11001000100,"Census Tract 1, District of Columbia, District of Columbia",20.2,0.7,76.5,14.0,18.78,6.4,2.3,47.9,52.1,0.516,97.0,22.5,97.3,18.0,11001000100,GEORGETOWN EAST
11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",22.4,92.2,0.0,6.6,44.82,31.5,2.0,50.2,49.8,0.5206,83.8,51.1,52.0,11.583333334999999,11001007703,FORT DUPONT
11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",18.7,38.1,47.9,10.9,20.86,4.5,3.8,47.4,52.6,0.4267,95.3,18.2,89.0,17.5,11001001702,BRIGHTWOOD
11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",19.9,12.7,64.6,13.5,12.46,5.0,0.8,47.8,52.2,0.416,96.6,57.9,92.2,14.66666667,11001005201,LOGAN CIRCLE/SHAW
11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",21.4,94.2,2.2,2.2,32.68,19.9,3.1,37.1,62.9,0.645,83.4,30.0,71.2,12.166666665000001,11001007407,HISTORIC ANACOSTIA
11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",19.3,54.4,25.7,4.3,24.54,28.1,0.8,46.4,53.6,0.5327,87.7,49.3,77.1,16.083333335,11001004701,CHINATOWN
11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",21.4,85.6,2.7,10.1,38.24,28.9,4.6,45.4,54.6,0.5059,86.2,34.6,61.5,11.7499999985,11001009904,MARSHALL HEIGHTS
11001004100,"Census Tract 41, District of Columbia, District of Columbia",19.0,5.5,71.8,9.0,15.86,4.8,1.0,46.5,53.5,0.5054,99.2,34.0,94.9,16.0,11001004100,GEORGETOWN EAST
11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",20.3,15.0,65.6,8.0,20.7,7.6,4.9,45.4,54.6,0.5037,99.0,25.9,87.2,11.16666667,11001001301,FOREST HILLS
11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",19.6,79.7,8.7,7.2,22.74,29.3,5.2,45.1,54.9,0.511,88.3,39.9,80.8,15.0,11001009102,BRENTWOOD
11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",18.0,49.5,33.9,9.7,20.35,15.5,3.0,39.3,60.7,0.4227,91.5,49.0,86.9,14.75,11001008702,EDGEWOOD
11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",17.4,51.2,39.2,5.5,16.36,6.3,5.6,52.7,47.3,0.4339,91.3,27.4,87.8,16.25,11001008701,BLOOMINGDALE
11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",20.6,96.1,0.3,2.0,32.7,26.6,3.2,39.0,61.0,0.463,86.3,49.0,53.2,14.0,11001009906,MARSHALL HEIGHTS
11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",18.6,29.4,54.9,9.7,10.72,8.1,0.7,49.2,50.8,0.4479,93.5,40.5,87.9,18.0,11001004801,LOGAN CIRCLE/SHAW
11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",19.3,3.9,75.7,12.5,11.5,2.4,0.1,48.0,52.0,0.5285,97.6,5.1,96.6,15.5,11001000902,KENT/PALISADES
11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",19.5,87.6,2.8,6.8,27.87,26.2,8.0,48.8,51.2,0.5463,84.0,33.0,76.2,14.25,11001007803,EASTLAND GARDENS
11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",20.0,82.0,6.6,9.8,28.24,25.2,8.0,48.1,51.9,0.5091,82.1,54.5,58.3,13.416666665000001,11001008904,TRINIDAD
11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",14.5,45.7,41.1,4.0,50.91,19.4,3.1,58.1,41.9,0.5009,91.6,46.7,55.2,10.66666667,11001002302,DC MEDICAL CENTER
11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",20.4,24.9,44.1,16.4,22.65,14.0,3.4,45.2,54.8,0.4665,94.0,42.6,89.1,17.83333333,11001004902,LOGAN CIRCLE/SHAW
11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",19.5,15.1,63.7,12.4,13.7,9.1,2.4,55.9,44.1,0.4475,91.5,40.4,90.4,16.583333335,11001005001,LOGAN CIRCLE/SHAW
11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",21.7,13.0,52.7,22.0,10.28,6.4,5.1,50.2,49.8,0.5071,84.0,35.3,88.0,14.0,11001002702,MOUNT PLEASANT
11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",17.2,48.7,26.9,16.8,20.22,5.1,0.8,48.5,51.5,0.4757,90.4,12.5,84.1,15.16666667,11001002201,PETWORTH
11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",20.8,96.7,0.3,1.3,33.84,35.5,4.5,42.2,57.8,0.5118,76.1,36.9,64.6,13.16666667,11001007808,LINCOLN HEIGHTS
11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",22.4,95.1,1.4,3.0,38.29,36.7,4.6,38.3,61.7,0.4628,76.9,48.9,70.8,14.83333333,11001007304,CONGRESS HEIGHTS/SHIPLEY
11001004400,"Census Tract 44, District of Columbia, District of Columbia",19.7,19.8,64.5,5.3,6.93,6.0,1.8,55.7,44.3,0.4196,95.8,37.8,95.1,16.916666665,11001004400,U ST/PLEASANT
11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",19.7,26.1,61.5,6.8,11.47,8.5,3.6,43.2,56.8,0.492,96.6,38.6,86.9,15.5,11001008402,UNION STATION
11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",23.5,6.1,75.9,9.0,16.96,19.0,2.3,49.4,50.6,0.4899,99.5,16.2,96.8,17.08333333,11001000202,GEORGETOWN
11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",25.2,57.9,21.6,14.6,32.62,39.5,12.3,60.1,39.9,0.5043,85.0,44.7,59.3,17.16666667,11001008803,TRINIDAD
11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",18.1,91.1,3.3,4.2,32.1,9.8,10.2,34.4,65.6,0.4192,84.2,27.5,65.3,14.166666665000001,11001009604,FORT DUPONT
11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",17.6,60.6,11.3,23.8,19.04,12.7,3.9,46.2,53.8,0.4521,84.8,21.9,87.4,14.833333334999999,11001002102,BRIGHTWOOD PARK
11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",20.8,23.6,28.2,36.6,35.24,22.6,14.5,48.4,51.6,0.5151,76.8,56.6,71.5,16.333333335,11001002802,COLUMBIA HEIGHTS
11001010400,"Census Tract 104, District of Columbia, District of Columbia",20.8,93.5,4.0,2.1,46.59,29.6,6.5,44.7,55.3,0.4902,86.6,50.0,76.5,14.416666665000001,11001010400,SAINT ELIZABETHS
